substring,family,log10_span_cost,action,note,params
111621263136414651566166717681,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":11,""step"":5,""terms"":15}"
111723293541475359657177838995,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":11,""step"":6,""terms"":15}"
112114116118120122124126128130,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":112,""step"":2,""terms"":10}"
112115118121124127130133136139,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":112,""step"":3,""terms"":10}"
112116120124128132136140144148,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":112,""step"":4,""terms"":10}"
112117122127132137142147152157,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":112,""step"":5,""terms"":10}"
112118124130136142148154160166,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":112,""step"":6,""terms"":10}"
112119126133140147154161168175,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":112,""step"":7,""terms"":10}"
112120128136144152160168176184,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":112,""step"":8,""terms"":10}"
112121130139148157166175184193,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":112,""step"":9,""terms"":10}"
112122132142152162172182192202,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":112,""step"":10,""terms"":10}"
113115117119121123125127129131,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":113,""step"":2,""terms"":10}"
113116119122125128131134137140,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":113,""step"":3,""terms"":10}"
113117121125129133137141145149,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":113,""step"":4,""terms"":10}"
113118123128133138143148153158,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":113,""step"":5,""terms"":10}"
113119125131137143149155161167,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":113,""step"":6,""terms"":10}"
113120127134141148155162169176,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":113,""step"":7,""terms"":10}"
113121129137145153161169177185,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":113,""step"":8,""terms"":10}"
113122131140149158167176185194,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":113,""step"":9,""terms"":10}"
113123133143153163173183193203,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":113,""step"":10,""terms"":10}"
114116118120122124126128130132,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":114,""step"":2,""terms"":10}"
114117120123126129132135138141,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":114,""step"":3,""terms"":10}"
114118122126130134138142146150,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":114,""step"":4,""terms"":10}"
114119124129134139144149154159,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":114,""step"":5,""terms"":10}"
114120126132138144150156162168,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":114,""step"":6,""terms"":10}"
114121128135142149156163170177,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":114,""step"":7,""terms"":10}"
114122130138146154162170178186,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":114,""step"":8,""terms"":10}"
114123132141150159168177186195,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":114,""step"":9,""terms"":10}"
114124134144154164174184194204,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":114,""step"":10,""terms"":10}"
115117119121123125127129131133,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":115,""step"":2,""terms"":10}"
115118121124127130133136139142,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":115,""step"":3,""terms"":10}"
115119123127131135139143147151,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":115,""step"":4,""terms"":10}"
115120125130135140145150155160,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":115,""step"":5,""terms"":10}"
115121127133139145151157163169,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":115,""step"":6,""terms"":10}"
115122129136143150157164171178,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":115,""step"":7,""terms"":10}"
115123131139147155163171179187,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":115,""step"":8,""terms"":10}"
115124133142151160169178187196,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":115,""step"":9,""terms"":10}"
115125135145155165175185195205,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":115,""step"":10,""terms"":10}"
116118120122124126128130132134,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":116,""step"":2,""terms"":10}"
116119122125128131134137140143,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":116,""step"":3,""terms"":10}"
116120124128132136140144148152,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":116,""step"":4,""terms"":10}"
116121126131136141146151156161,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":116,""step"":5,""terms"":10}"
116122128134140146152158164170,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":116,""step"":6,""terms"":10}"
116123130137144151158165172179,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":116,""step"":7,""terms"":10}"
116124132140148156164172180188,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":116,""step"":8,""terms"":10}"
116125134143152161170179188197,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":116,""step"":9,""terms"":10}"
116126136146156166176186196206,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":116,""step"":10,""terms"":10}"
117119121123125127129131133135,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":117,""step"":2,""terms"":10}"
117120123126129132135138141144,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":117,""step"":3,""terms"":10}"
117121125129133137141145149153,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":117,""step"":4,""terms"":10}"
117122127132137142147152157162,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":117,""step"":5,""terms"":10}"
117123129135141147153159165171,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":117,""step"":6,""terms"":10}"
117124131138145152159166173180,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":117,""step"":7,""terms"":10}"
117125133141149157165173181189,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":117,""step"":8,""terms"":10}"
117126135144153162171180189198,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":117,""step"":9,""terms"":10}"
117127137147157167177187197207,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":117,""step"":10,""terms"":10}"
118120122124126128130132134136,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":118,""step"":2,""terms"":10}"
118121124127130133136139142145,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":118,""step"":3,""terms"":10}"
118122126130134138142146150154,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":118,""step"":4,""terms"":10}"
118123128133138143148153158163,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":118,""step"":5,""terms"":10}"
118124130136142148154160166172,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":118,""step"":6,""terms"":10}"
118125132139146153160167174181,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":118,""step"":7,""terms"":10}"
118126134142150158166174182190,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":118,""step"":8,""terms"":10}"
118127136145154163172181190199,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":118,""step"":9,""terms"":10}"
118128138148158168178188198208,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":118,""step"":10,""terms"":10}"
119121123125127129131133135137,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":119,""step"":2,""terms"":10}"
119122125128131134137140143146,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":119,""step"":3,""terms"":10}"
119123127131135139143147151155,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":119,""step"":4,""terms"":10}"
119124129134139144149154159164,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":119,""step"":5,""terms"":10}"
119125131137143149155161167173,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":119,""step"":6,""terms"":10}"
119126133140147154161168175182,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":119,""step"":7,""terms"":10}"
119127135143151159167175183191,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":119,""step"":8,""terms"":10}"
119128137146155164173182191200,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":119,""step"":9,""terms"":10}"
119129139149159169179189199209,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":119,""step"":10,""terms"":10}"
120122124126128130132134136138,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":120,""step"":2,""terms"":10}"
120123126129132135138141144147,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":120,""step"":3,""terms"":10}"
120124128132136140144148152156,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":120,""step"":4,""terms"":10}"
120125130135140145150155160165,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":120,""step"":5,""terms"":10}"
120126132138144150156162168174,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":120,""step"":6,""terms"":10}"
120127134141148155162169176183,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":120,""step"":7,""terms"":10}"
120128136144152160168176184192,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":120,""step"":8,""terms"":10}"
120129138147156165174183192201,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":120,""step"":9,""terms"":10}"
120130140150160170180190200210,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":120,""step"":10,""terms"":10}"
121123125127129131133135137139,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":121,""step"":2,""terms"":10}"
121124127130133136139142145148,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":121,""step"":3,""terms"":10}"
121125129133137141145149153157,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":121,""step"":4,""terms"":10}"
121126131136141146151156161166,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":121,""step"":5,""terms"":10}"
121127133139145151157163169175,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":121,""step"":6,""terms"":10}"
121128135142149156163170177184,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":121,""step"":7,""terms"":10}"
121129137145153161169177185193,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":121,""step"":8,""terms"":10}"
121130139148157166175184193202,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":121,""step"":9,""terms"":10}"
121131141151161171181191201211,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":121,""step"":10,""terms"":10}"
121416182022242628303234363840,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":12,""step"":2,""terms"":15}"
121518212427303336394245485154,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":12,""step"":3,""terms"":15}"
121620242832364044485256606468,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":12,""step"":4,""terms"":15}"
121722273237424752576267727782,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":12,""step"":5,""terms"":15}"
121824303642485460667278849096,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":12,""step"":6,""terms"":15}"
122124126128130132134136138140,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":122,""step"":2,""terms"":10}"
122125128131134137140143146149,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":122,""step"":3,""terms"":10}"
122126130134138142146150154158,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":122,""step"":4,""terms"":10}"
122127132137142147152157162167,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":122,""step"":5,""terms"":10}"
122128134140146152158164170176,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":122,""step"":6,""terms"":10}"
122129136143150157164171178185,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":122,""step"":7,""terms"":10}"
122130138146154162170178186194,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":122,""step"":8,""terms"":10}"
122131140149158167176185194203,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":122,""step"":9,""terms"":10}"
122132142152162172182192202212,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":122,""step"":10,""terms"":10}"
123125127129131133135137139141,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":123,""step"":2,""terms"":10}"
123126129132135138141144147150,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":123,""step"":3,""terms"":10}"
123127131135139143147151155159,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":123,""step"":4,""terms"":10}"
123128133138143148153158163168,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":123,""step"":5,""terms"":10}"
123129135141147153159165171177,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":123,""step"":6,""terms"":10}"
123130137144151158165172179186,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":123,""step"":7,""terms"":10}"
123131139147155163171179187195,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":123,""step"":8,""terms"":10}"
123132141150159168177186195204,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":123,""step"":9,""terms"":10}"
123133143153163173183193203213,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":123,""step"":10,""terms"":10}"
124126128130132134136138140142,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":124,""step"":2,""terms"":10}"
124127130133136139142145148151,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":124,""step"":3,""terms"":10}"
124128132136140144148152156160,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":124,""step"":4,""terms"":10}"
124129134139144149154159164169,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":124,""step"":5,""terms"":10}"
124130136142148154160166172178,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":124,""step"":6,""terms"":10}"
124131138145152159166173180187,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":124,""step"":7,""terms"":10}"
124132140148156164172180188196,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":124,""step"":8,""terms"":10}"
124133142151160169178187196205,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":124,""step"":9,""terms"":10}"
124134144154164174184194204214,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":124,""step"":10,""terms"":10}"
125127129131133135137139141143,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":125,""step"":2,""terms"":10}"
125128131134137140143146149152,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":125,""step"":3,""terms"":10}"
125129133137141145149153157161,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":125,""step"":4,""terms"":10}"
125130135140145150155160165170,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":125,""step"":5,""terms"":10}"
125131137143149155161167173179,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":125,""step"":6,""terms"":10}"
125132139146153160167174181188,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":125,""step"":7,""terms"":10}"
125133141149157165173181189197,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":125,""step"":8,""terms"":10}"
125134143152161170179188197206,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":125,""step"":9,""terms"":10}"
125135145155165175185195205215,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":125,""step"":10,""terms"":10}"
126128130132134136138140142144,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":126,""step"":2,""terms"":10}"
126129132135138141144147150153,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":126,""step"":3,""terms"":10}"
126130134138142146150154158162,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":126,""step"":4,""terms"":10}"
126131136141146151156161166171,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":126,""step"":5,""terms"":10}"
126132138144150156162168174180,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":126,""step"":6,""terms"":10}"
126133140147154161168175182189,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":126,""step"":7,""terms"":10}"
126134142150158166174182190198,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":126,""step"":8,""terms"":10}"
126135144153162171180189198207,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":126,""step"":9,""terms"":10}"
126136146156166176186196206216,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":126,""step"":10,""terms"":10}"
127129131133135137139141143145,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":127,""step"":2,""terms"":10}"
127130133136139142145148151154,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":127,""step"":3,""terms"":10}"
127131135139143147151155159163,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":127,""step"":4,""terms"":10}"
127132137142147152157162167172,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":127,""step"":5,""terms"":10}"
127133139145151157163169175181,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":127,""step"":6,""terms"":10}"
127134141148155162169176183190,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":127,""step"":7,""terms"":10}"
127135143151159167175183191199,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":127,""step"":8,""terms"":10}"
127136145154163172181190199208,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":127,""step"":9,""terms"":10}"
127137147157167177187197207217,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":127,""step"":10,""terms"":10}"
128130132134136138140142144146,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":128,""step"":2,""terms"":10}"
128131134137140143146149152155,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":128,""step"":3,""terms"":10}"
128132136140144148152156160164,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":128,""step"":4,""terms"":10}"
128133138143148153158163168173,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":128,""step"":5,""terms"":10}"
128134140146152158164170176182,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":128,""step"":6,""terms"":10}"
128135142149156163170177184191,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":128,""step"":7,""terms"":10}"
128136144152160168176184192200,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":128,""step"":8,""terms"":10}"
128137146155164173182191200209,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":128,""step"":9,""terms"":10}"
128138148158168178188198208218,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":128,""step"":10,""terms"":10}"
129131133135137139141143145147,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":129,""step"":2,""terms"":10}"
129132135138141144147150153156,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":129,""step"":3,""terms"":10}"
129133137141145149153157161165,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":129,""step"":4,""terms"":10}"
129134139144149154159164169174,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":129,""step"":5,""terms"":10}"
129135141147153159165171177183,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":129,""step"":6,""terms"":10}"
129136143150157164171178185192,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":129,""step"":7,""terms"":10}"
129137145153161169177185193201,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":129,""step"":8,""terms"":10}"
129138147156165174183192201210,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":129,""step"":9,""terms"":10}"
129139149159169179189199209219,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":129,""step"":10,""terms"":10}"
130132134136138140142144146148,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":130,""step"":2,""terms"":10}"
130133136139142145148151154157,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":130,""step"":3,""terms"":10}"
130134138142146150154158162166,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":130,""step"":4,""terms"":10}"
130135140145150155160165170175,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":130,""step"":5,""terms"":10}"
130136142148154160166172178184,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":130,""step"":6,""terms"":10}"
130137144151158165172179186193,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":130,""step"":7,""terms"":10}"
130138146154162170178186194202,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":130,""step"":8,""terms"":10}"
130139148157166175184193202211,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":130,""step"":9,""terms"":10}"
130140150160170180190200210220,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":130,""step"":10,""terms"":10}"
131133135137139141143145147149,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":131,""step"":2,""terms"":10}"
131134137140143146149152155158,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":131,""step"":3,""terms"":10}"
131135139143147151155159163167,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":131,""step"":4,""terms"":10}"
131136141146151156161166171176,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":131,""step"":5,""terms"":10}"
131137143149155161167173179185,arithmetic_progression_no_separator,4.278,score_only,Arithmetic progression concatenated without separators.,"{""start"":131,""step"":6,""terms"":10}"
131138145152159166173180187194,arithmetic_progression_no_separator,4.345,score_only,Arithmetic progression concatenated without separators.,"{""start"":131,""step"":7,""terms"":10}"
131139147155163171179187195203,arithmetic_progression_no_separator,4.403,score_only,Arithmetic progression concatenated without separators.,"{""start"":131,""step"":8,""terms"":10}"
131140149158167176185194203212,arithmetic_progression_no_separator,4.454,score_only,Arithmetic progression concatenated without separators.,"{""start"":131,""step"":9,""terms"":10}"
131141151161171181191201211221,arithmetic_progression_no_separator,4.500,score_only,Arithmetic progression concatenated without separators.,"{""start"":131,""step"":10,""terms"":10}"
131517192123252729313335373941,arithmetic_progression_no_separator,3.801,score_only,Arithmetic progression concatenated without separators.,"{""start"":13,""step"":2,""terms"":15}"
131619222528313437404346495255,arithmetic_progression_no_separator,3.977,score_only,Arithmetic progression concatenated without separators.,"{""start"":13,""step"":3,""terms"":15}"
131721252933374145495357616569,arithmetic_progression_no_separator,4.102,score_only,Arithmetic progression concatenated without separators.,"{""start"":13,""step"":4,""terms"":15}"
131823283338434853586368737883,arithmetic_progression_no_separator,4.199,score_only,Arithmetic progression concatenated without separators.,"{""start"":13,""step"":5,""terms"":15}"
